name,lng,lat
Savannah State University,-81.063377,32.024781
Shorter University,-85.196529,34.257543
Spelman College,-84.411527,33.745279
Thomas University,-83.963587,30.815576
Toccoa Falls College,-83.357617,34.593414
Truett McConnell University,-83.745972,34.594437
Valdosta State University,-83.289925,30.849236
Wesleyan College,-83.717186,32.874648
University of West Georgia,-85.099007,33.574421
Young Harris College,-83.847765,34.93316
Chaminade University of Honolulu,-157.807642,21.290274
University of Hawaii at Hilo,-155.081329,19.701854
University of Hawaii at Manoa,-157.818979,21.298598
Hawaii Pacific University,-157.859645,21.310306
University of Hawaii Maui College,-156.479854,20.890561
World Medicine Institute,-157.754719,21.296439
University of Hawaii-West Oahu,-158.056403,21.35531
Boise Bible College,-116.290607,43.657437
Boise State University,-116.205789,43.604403
Idaho State University,-112.429084,42.864108
University of Idaho,-117.024296,46.726894
The College of Idaho,-116.676838,43.652653
Lewis-Clark State College,-117.024875,46.412199
Northwest Nazarene University,-116.565783,43.562411
Brigham Young University-Idaho,-111.782431,43.818408
Adler University,-87.629131,41.88253
American Academy of Art,-87.624396,41.877824
School of the Art Institute of Chicago,-87.621411,41.879646
Augustana College,-90.55057,41.502365
Aurora University,-88.349469,41.754465
Bethany Theological Seminary,-84.9099,39.8265
Blackburn College,-89.872248,39.288298
Blessing Rieman College of Nursing and Health Sciences,-91.399045,39.936549
Bradley University,-89.61462,40.697605
Catholic Theological Union at Chicago,-87.585772,41.798059
Midwestern University-Downers Grove,-88.000989,41.828376
The Chicago School of Professional Psychology at Chicago,-87.633933,41.887903
Chicago State University,-87.610344,41.718813
Chicago Theological Seminary,-87.591178,41.785701
University of Chicago,-87.601196,41.78917
Columbia College Chicago,-87.624554,41.873589
Concordia University-Chicago,-87.810009,41.898574
DePaul University,-87.62724,41.877618
East-West University,-87.624793,41.871309
Eastern Illinois University,-88.175505,39.483017
Elmhurst College,-87.946096,41.899215
Eureka College,-89.268952,40.713042
Garrett-Evangelical Theological Seminary,-87.676721,42.053318
Governors State University,-87.717012,41.448603
Greenville University,-89.409178,38.894751
Harrington College of Design,-87.624441,41.87446
Hebrew Theological College,-87.761119,42.011055
Rosalind Franklin University of Medicine and Science,-87.859632,42.300069
University of Illinois at Chicago,-87.651145,41.872651
Benedictine University,-88.097307,41.777569
Illinois College of Optometry,-87.623016,41.835447
University of Illinois at Urbana-Champaign,-88.230309,40.108864
Illinois Wesleyan University,-88.990622,40.491522
Illinois College,-90.246256,39.730827
Illinois Institute of Technology,-87.627321,41.8313
Argosy University-Chicago,-87.623772,41.886006
Illinois State University,-88.990058,40.509403
Institute for Clinical Social Work,-87.627181,41.87635
The John Marshall Law School,-87.628567,41.877966
Judson University,-88.289708,42.05896
Kendall College,-87.648936,41.898756
Knox College,-90.370316,40.941829
Lake Forest College,-87.830777,42.250456
Lake Forest Graduate School of Management,-87.893204,42.243432
Lakeview College of Nursing,-87.644452,40.137179
Lewis University,-88.079032,41.605432
Lincoln Christian University,-89.34582,40.148897
Lincoln College,-89.360552,40.157141
Loyola University Chicago,-87.657399,41.999161
Lutheran School of Theology at Chicago,-87.599577,41.795064
Trinity College of Nursing & Health Sciences,-90.57091,41.48559
MacMurray College,-90.22175,39.730226
McCormick Theological Seminary,-87.5961,41.793514
McKendree University,-89.814486,38.609431
Meadville Lombard Theological School,-87.624801,41.87404
Methodist College,-89.682864,40.7804
Midstate College,-89.598859,40.761916
Millikin University,-88.974571,39.842604
Monmouth College,-90.637909,40.91459
Moody Bible Institute,-87.633459,41.897822
National Louis University,-87.624805,41.879826
National University of Health Sciences,-88.013153,41.861919
North Central College,-88.143649,41.775304
North Park University,-87.709142,41.9751
Northern Baptist Theological Seminary,,
Northern Illinois University,-88.766428,41.933869
Northwestern University,-87.679858,42.050356
Northeastern Illinois University,-87.72013,41.980567
Olivet Nazarene University,-87.873654,41.155489
Quincy University,-91.387928,39.939235
The Illinois Institute of Art-Chicago,-87.637632,41.888723
Robert Morris University Illinois,-87.627068,41.876278
Rockford University,-89.019536,42.270639
Roosevelt University,-87.624952,41.876055
Dominican University,-87.821872,41.902834
Rush University,-87.667498,41.874911
Saint Francis Medical Center College of Nursing,-89.590993,40.70028
University of St Francis,-88.096368,41.533341
St. John's College-Department of Nursing,-89.645795,39.807318
Saint Xavier University,-87.713507,41.707763
University of Illinois at Springfield,-89.614917,39.729862
Saint Augustine College,-87.662806,41.972414
University of Saint Mary of the Lake,-88.000262,42.280702
Spertus College,-87.624634,41.872741
Saint Anthony College of Nursing,,
Southern Illinois University-Carbondale,-89.217273,37.714193
Southern Illinois University-Edwardsville,-89.997779,38.793949
Telshe Yeshiva-Chicago,-87.716912,41.975289
Trinity Christian College,-87.784157,41.669189
Trinity International University-Illinois,-87.882722,42.197909
VanderCook College of Music,-87.629138,41.836833
Resurrection University,-87.685291,41.90748
Western Illinois University,-90.685235,40.465621
Wheaton College,-88.09681,41.870943
Anderson University,-85.662292,40.112167
Ball State University,-85.409043,40.203431
Bethel College-Indiana,-86.194686,41.678399
Butler University,-86.171791,39.840662
Calumet College of Saint Joseph,-87.492987,41.670925
Christian Theological Seminary,-86.177759,39.833199
Concordia Theological Seminary,-85.10994,41.139321
DePauw University,-86.863556,39.63953
Earlham College,-84.911464,39.822278
University of Evansville,-87.531963,37.969955
Franklin College,-86.047182,39.478298
Goshen College,-85.826766,41.564254
Grace College and Theological Seminary,-85.813931,41.226473
Hanover College,-85.460361,38.71398
Holy Cross College,-86.253822,41.698996
Huntington University,-85.499624,40.89907
Indiana University-Purdue University-Fort Wayne,-85.111747,41.115418
Indiana University-Purdue University-Indianapolis,-86.172217,39.772948
Harrison College-Indianapolis,-86.147857,39.766871
University of Indianapolis,-86.134747,39.709671
Indiana Institute of Technology,-85.11795,41.078338
University of Southern Indiana,-87.67666,37.966188
Indiana State University,-87.407085,39.46873
Indiana University-Kokomo,-86.132048,40.460062
Indiana University-South Bend,-86.221991,41.665324
Indiana University-Bloomington,-86.526904,39.166383
Indiana University-Northwest,-87.338457,41.556723
Indiana University-Southeast,-85.819376,38.342992
Indiana University-East,-84.886187,39.867099
International Business College-Fort Wayne,-85.25934,41.035246
Brown Mackie College-Merrillville,-87.326134,41.473702
Manchester University,-85.758762,41.011609
Marian University,-86.204599,39.81534
Indiana Wesleyan University-Marion,-85.667503,40.517937
Martin University,-86.102731,39.79829
Anabaptist Mennonite Biblical Seminary,-85.972222,41.656093
Brown Mackie College-South Bend,-86.1999,41.708281
Mid-America College of Funeral Service,-85.744342,38.310919
University of Notre Dame,-86.238959,41.703058
Oakland City University,-87.351611,38.339606
Rose-Hulman Institute of Technology,-87.326749,39.483602
University of Saint Francis-Fort Wayne,-85.173694,41.087772
Saint Mary-of-the-Woods College,-87.463791,39.508546
Saint Mary's College,-86.256947,41.707274
Saint Meinrad School of Theology,-86.810417,38.166046
Taylor University,-85.496906,40.458382
Trine University,-85.005696,41.633389
Valparaiso University,-87.040172,41.462239
Vincennes University,-87.519939,38.687766
Wabash College,-86.906,40.037588
